<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,symbol,trading_date,num_neg,num_pos,total,weighted_score,EIst,VCP_dir,VOP_dir,daily_change,TR_Simplified,TR,TR_Class,EPS,PE,VPE_dir,PB,Is_Stable,FF_TR,FF_TR_Class,EIst_class
S*Mobarakeh Steel,2025-04-21,4479.0,4481.0,4280.0,4438.0,11138041580712.0,2509813619,52958,D,4351.0,4320.0,FOLD1,2025-04-21,107.0,89.0,224.0,75.0,47.767857142857146,up,up,87.0,6.123465833274477,1.6732090793333334,High,591,7.509306260575296,up,1.7680759300900584,True,4.647802998148149,High,non_negative
S*Mobarakeh Steel,2025-04-22,4340.0,4360.0,4305.0,4310.0,4885073044542.0,1133517816,26178,D,4438.0,4305.0,FOLD1,2025-04-22,123.0,52.0,190.0,-145.0,64.73684210526316,down,up,-128.0,2.574568634254535,0.755678544,High,591,7.292724196277495,down,1.7170814012366271,True,2.0991070666666665,High,strong_negative
S*Mobarakeh Steel,2025-04-23,4330.0,4439.0,4200.0,4389.0,9397860283503.0,2141175113,36567,D,4310.0,4439.0,FOLD1,2025-04-23,93.0,79.0,185.0,122.0,50.27027027027027,up,down,79.0,4.2533464095719244,1.4274500753333332,High,591,7.426395939086294,up,1.7485545870133543,True,3.965139098148148,High,weak_negative
S*Mobarakeh Steel,2025-04-26,4520.0,4520.0,4300.0,4435.0,5455517828619.0,1229973497,27072,D,4389.0,4413.0,FOLD1,2025-04-26,75.0,55.0,143.0,114.0,52.44755244755245,up,up,46.0,2.3157843852106392,0.8199823313333333,High,591,7.504230118443316,up,1.766880745820056,True,2.277728698148148,High,weak_negative
S*Mobarakeh Steel,2025-04-27,4302.0,4330.0,4302.0,4303.0,3570018125531.0,829568733,18190,D,4435.0,4302.0,FOLD1,2025-04-27,100.0,44.0,164.0,-269.0,60.97560975609756,down,up,-132.0,1.5099910899953741,0.553045822,High,591,7.280879864636209,down,1.7142926379399552,True,1.5362383944444444,High,strong_negative
S*Mobarakeh Steel,2025-04-28,4289.0,4391.0,4174.0,4205.0,5049521874592.0,1200910375,28551,D,4303.0,4208.0,FOLD1,2025-04-28,200.0,65.0,293.0,-636.0,68.25938566552901,down,down,-98.0,2.0374550980335346,0.8006069166666666,High,591,7.115059221658206,down,1.675249951786547,True,2.223908101851852,High,strong_negative
S*Mobarakeh Steel,2025-04-29,4227.0,4324.0,4175.0,4254.0,2430352934280.0,571367300,14925,D,4205.0,4270.0,FOLD1,2025-04-29,149.0,73.0,243.0,-244.0,61.31687242798354,up,down,49.0,0.9390346400446791,0.38091153333333333,High,591,7.197969543147208,up,1.694771294863251,True,1.0580875925925926,High,strong_negative
S*Mobarakeh Steel,2025-04-30,4250.0,4313.0,4224.0,4271.0,2388555317182.0,559218234,16006,D,4254.0,4277.0,FOLD1,2025-04-30,181.0,53.0,254.0,-614.0,71.25984251968504,up,up,17.0,0.8917485632842707,0.372812156,High,591,7.2267343485617594,up,1.7015440057265974,True,1.0355893222222223,High,strong_negative
S*Mobarakeh Steel,2025-05-03,4143.0,4144.0,4143.0,4143.0,2089554113099.0,504357359,9256,D,4271.0,4143.0,FOLD1,2025-05-03,93.0,37.0,145.0,-344.0,64.13793103448275,down,up,-128.0,0.7832670421692487,0.33623823933333336,High,591,7.01015228426396,down,1.650549476873166,True,0.9339951092592592,High,strong_negative
S*Mobarakeh Steel,2025-05-04,4019.0,4098.0,4019.0,4034.0,2463887457014.0,610745794,20474,D,4143.0,4034.0,FOLD1,2025-05-04,131.0,56.0,203.0,-358.0,64.5320197044335,down,down,-109.0,0.9306188606189089,0.40716386266666665,High,591,6.825719120135364,down,1.6071244483964162,True,1.1310107296296297,High,strong_negative
S*Mobarakeh Steel,2025-05-05,4050.0,4118.0,3959.0,4019.0,1834531170688.0,456434400,16551,D,4034.0,3981.0,FOLD1,2025-05-05,196.0,59.0,283.0,-660.0,69.25795053003534,down,down,-15.0,0.7018999954509524,0.3042896,High,591,6.800338409475465,down,1.6011485270464048,True,0.8452488888888889,High,strong_negative
S*Mobarakeh Steel,2025-05-06,4035.0,4085.0,3930.0,3989.0,2279819063508.0,571569344,17138,D,4019.0,4018.0,FOLD1,2025-05-06,126.0,66.0,221.0,-291.0,57.01357466063348,down,down,-30.0,0.8678719780699456,0.3810462293333333,High,591,6.749576988155669,down,1.5891966843463818,True,1.0584617481481482,High,weak_negative
