<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Mellat.Bank,20250712,2281.00,2281.00,2281.00,2281.00,2300640080614,1008610294,7135,D,2215.00,2281.00
S*Mellat.Bank,20250709,2195.00,2250.00,2183.00,2215.00,2622656222801,1184103135,13374,D,2245.00,2246.00
S*Mellat.Bank,20250708,2331.00,2334.00,2232.00,2245.00,2380728620534,1060230007,11448,D,2301.00,2232.00
S*Mellat.Bank,20250707,2304.00,2304.00,2272.00,2301.00,5376391292297,2336129457,21377,D,2237.00,2303.00
S*Mellat.Bank,20250702,2160.00,2264.00,2160.00,2237.00,6923883943377,3095602328,28176,D,2199.00,2264.00
S*Mellat.Bank,20250701,2199.00,2213.00,2199.00,2199.00,17635511492661,8019683056,44023,D,2267.00,2199.00
S*Mellat.Bank,20250630,2267.00,2268.00,2267.00,2267.00,14650801471395,6462637920,32584,D,2337.00,2267.00
S*Mellat.Bank,20250629,2337.00,2337.00,2337.00,2337.00,1291828047150,552771950,1937,D,2409.00,2337.00
S*Mellat.Bank,20250628,2409.00,2409.00,2409.00,2409.00,2258312099505,937447945,3816,D,2483.00,2409.00
S*Mellat.Bank,20250611,2533.00,2533.00,2458.00,2483.00,1909794208494,769261215,16627,D,2504.00,2467.00
S*Mellat.Bank,20250610,2536.00,2567.00,2469.00,2504.00,2761378550448,1102637641,14666,D,2529.00,2528.00
S*Mellat.Bank,20250609,2595.00,2599.00,2508.00,2529.00,1816704763014,718226820,10038,D,2585.00,2508.00
S*Mellat.Bank,20250608,2560.00,2602.00,2531.00,2585.00,2902189607760,1122854175,13557,D,2527.00,2567.00
S*Mellat.Bank,20250607,2555.00,2562.00,2519.00,2527.00,2813213445738,1113147992,12318,D,2596.00,2519.00
S*Mellat.Bank,20250603,2650.00,2650.00,2584.00,2596.00,3137052989407,1208291138,17005,D,2663.00,2584.00
S*Mellat.Bank,20250602,2678.00,2736.00,2636.00,2663.00,2517069714170,945029003,12636,D,2674.00,2638.00
S*Mellat.Bank,20250601,2715.00,2725.00,2657.00,2674.00,3919489902868,1465541712,17934,D,2739.00,2684.00
S*Mellat.Bank,20250531,2791.00,2819.00,2703.00,2739.00,3905494618532,1425821035,19000,D,2765.00,2704.00
S*Mellat.Bank,20250528,2770.00,2800.00,2729.00,2765.00,4117299698896,1489275661,16788,D,2724.00,2747.00
S*Mellat.Bank,20250527,2724.00,2724.00,2724.00,2724.00,2685753484596,985959429,5756,D,2645.00,2724.00
S*Mellat.Bank,20250526,2659.00,2663.00,2590.00,2645.00,3232069342767,1221764946,14256,D,2586.00,2663.00
S*Mellat.Bank,20250525,2675.00,2675.00,2572.00,2586.00,2692815615629,1041327698,14024,D,2651.00,2572.00
S*Mellat.Bank,20250524,2664.00,2664.00,2581.00,2651.00,3796746804355,1432266666,16859,D,2587.00,2664.00
S*Mellat.Bank,20250521,2583.00,2657.00,2583.00,2587.00,7769704313221,3002966991,28775,D,2662.00,2615.00
S*Mellat.Bank,20250520,2713.00,2725.00,2659.00,2662.00,4375720779936,1643937355,16228,D,2741.00,2659.00
S*Mellat.Bank,20250519,2774.00,2774.00,2740.00,2741.00,6977922679668,2545886008,24752,D,2824.00,2740.00
S*Mellat.Bank,20250518,2816.00,2860.00,2778.00,2824.00,4206531815860,1489683565,24142,D,2808.00,2801.00
S*Mellat.Bank,20250517,2816.00,2816.00,2746.00,2808.00,9620492003453,3425912956,33665,D,2734.00,2816.00
S*Mellat.Bank,20250514,2736.00,2736.00,2677.00,2734.00,11945496513626,4369012842,36629,D,2657.00,2736.00
S*Mellat.Bank,20250513,2657.00,2657.00,2657.00,2657.00,3823930378063,1439190959,8388,D,2580.00,2657.00
S*Mellat.Bank,20250512,2580.00,2580.00,2580.00,2580.00,4647928220280,1801522566,10157,D,2505.00,2580.00
S*Mellat.Bank,20250511,2560.00,2560.00,2501.00,2505.00,2524125364745,1007556048,11243,D,2578.00,2502.00
S*Mellat.Bank,20250510,2575.00,2620.00,2574.00,2578.00,2986768320706,1158701351,13109,D,2653.00,2574.00
S*Mellat.Bank,20250507,2679.00,2679.00,2620.00,2653.00,3962907811473,1493564693,18840,D,2601.00,2630.00
S*Mellat.Bank,20250506,2650.00,2667.00,2554.00,2601.00,3984719136348,1532267276,22511,D,2632.00,2633.00
S*Mellat.Bank,20250505,2638.00,2671.00,2582.00,2632.00,3734801988504,1418752999,18610,D,2594.00,2610.00
S*Mellat.Bank,20250504,2578.00,2640.00,2578.00,2594.00,7041658520255,2714654430,29340,D,2657.00,2615.00
S*Mellat.Bank,20250503,2657.00,2657.00,2657.00,2657.00,4531657225101,1705554093,10158,D,2739.00,2657.00
S*Mellat.Bank,20250430,2711.00,2740.00,2695.00,2739.00,5020800587151,1833012778,17480,D,2661.00,2740.00
S*Mellat.Bank,20250429,2650.00,2713.00,2599.00,2661.00,3350052895952,1258883154,20649,D,2672.00,2673.00
S*Mellat.Bank,20250428,2700.00,2739.00,2610.00,2672.00,5230055394295,1957179772,28079,D,2660.00,2620.00
