<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Social Sec Inv,20250712, 1217.00, 1247.00, 1217.00, 1242.00,458168940941.00, 368907450,4175,D,1211.00,1240.00
Social Sec Inv,20250709, 1197.00, 1233.00, 1197.00, 1211.00,628485135352.00, 519183466,5384,D,1234.00,1229.00
Social Sec Inv,20250708, 1277.00, 1277.00, 1233.00, 1234.00,491017650291.00, 397841371,3558,D,1271.00,1233.00
Social Sec Inv,20250707, 1275.00, 1300.00, 1252.00, 1271.00,577390319162.00, 454130661,5594,D,1263.00,1254.00
Social Sec Inv,20250702, 1255.00, 1301.00, 1255.00, 1263.00,4579867680624.00, 3627346966,27110,D,1293.00,1282.00
Social Sec Inv,20250701, 1293.00, 1293.00, 1293.00, 1293.00,3409491450327.00, 2636884339,14044,D,1332.00,1293.00
Social Sec Inv,20250630, 1332.00, 1332.00, 1332.00, 1332.00,129457740672.00, 97190496,549,D,1373.00,1332.00
Social Sec Inv,20250629, 1373.00, 1373.00, 1373.00, 1373.00,161359142158.00, 117523046,730,D,1415.00,1373.00
Social Sec Inv,20250628, 1415.00, 1415.00, 1415.00, 1415.00,205023147860.00, 144892684,757,D,1458.00,1415.00
Social Sec Inv,20250625, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250624, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250623, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250622, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250621, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250618, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250616, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250615, 0.00, 0.00, 0.00, 1458.00,0.00, 0,0,D,1458.00,1457.00
Social Sec Inv,20250611, 1477.00, 1488.00, 1446.00, 1458.00,375481511829.00, 257513037,3627,D,1458.00,1457.00
Social Sec Inv,20250610, 1463.00, 1493.00, 1442.00, 1458.00,620502526552.00, 425616252,4985,D,1465.00,1471.00
Social Sec Inv,20250609, 1505.00, 1506.00, 1460.00, 1465.00,1787746496873.00, 1220643058,10965,D,1505.00,1460.00
Social Sec Inv,20250608, 1500.00, 1519.00, 1482.00, 1505.00,475787049263.00, 316114885,3853,D,1476.00,1494.00
Social Sec Inv,20250607, 1470.00, 1504.00, 1470.00, 1476.00,2175066180711.00, 1473330633,11227,D,1515.00,1477.00
Social Sec Inv,20250603, 1541.00, 1541.00, 1504.00, 1515.00,1039827792603.00, 686345703,6812,D,1547.00,1516.00
Social Sec Inv,20250602, 1556.00, 1579.00, 1533.00, 1547.00,668349274314.00, 432032891,5748,D,1557.00,1544.00
Social Sec Inv,20250601, 1570.00, 1590.00, 1544.00, 1557.00,1596696058503.00, 1025589512,10213,D,1591.00,1556.00
Social Sec Inv,20250531, 1620.00, 1622.00, 1573.00, 1591.00,508482354457.00, 319575046,4088,D,1585.00,1590.00
Social Sec Inv,20250528, 1601.00, 1601.00, 1580.00, 1585.00,618568019105.00, 390278741,4498,D,1598.00,1586.00
Social Sec Inv,20250527, 1608.00, 1621.00, 1580.00, 1598.00,619562039240.00, 387625453,4768,D,1586.00,1594.00
Social Sec Inv,20250526, 1607.00, 1617.00, 1562.00, 1586.00,641900557950.00, 404813237,5178,D,1590.00,1597.00
Social Sec Inv,20250525, 1611.00, 1631.00, 1586.00, 1590.00,2484712362788.00, 1562906693,12573,D,1635.00,1595.00
Social Sec Inv,20250524, 1680.00, 1680.00, 1599.00, 1635.00,837161559199.00, 512107525,6801,D,1644.00,1632.00
Social Sec Inv,20250521, 1640.00, 1689.00, 1640.00, 1644.00,1364502006681.00, 829840900,6859,D,1690.00,1670.00
Social Sec Inv,20250520, 1703.00, 1730.00, 1682.00, 1690.00,2483303646546.00, 1469391754,13580,D,1734.00,1682.00
Social Sec Inv,20250519, 1761.00, 1794.00, 1702.00, 1734.00,1605238002190.00, 925755702,11753,D,1754.00,1703.00
Social Sec Inv,20250518, 1700.00, 1761.00, 1691.00, 1754.00,2997856768957.00, 1708857705,15923,D,1710.00,1761.00
Social Sec Inv,20250517, 1707.00, 1732.00, 1665.00, 1710.00,2023813775295.00, 1183749290,12966,D,1682.00,1700.00
Social Sec Inv,20250514, 1627.00, 1688.00, 1627.00, 1682.00,2169906552066.00, 1290018832,10710,D,1639.00,1688.00
Social Sec Inv,20250513, 1655.00, 1658.00, 1613.00, 1639.00,1304083071491.00, 795636879,8153,D,1629.00,1653.00
Social Sec Inv,20250512, 1629.00, 1629.00, 1629.00, 1629.00,1136789956233.00, 697845277,4537,D,1582.00,1629.00
Social Sec Inv,20250511, 1570.00, 1621.00, 1569.00, 1582.00,1132130739567.00, 715705364,8589,D,1617.00,1576.00
Social Sec Inv,20250510, 1618.00, 1640.00, 1617.00, 1617.00,1359008312000.00, 840256761,7982,D,1667.00,1617.00
Social Sec Inv,20250507, 1668.00, 1681.00, 1640.00, 1667.00,1394778405832.00, 836651087,9373,D,1633.00,1677.00
Social Sec Inv,20250506, 1610.00, 1645.00, 1586.00, 1633.00,1461939611323.00, 895152813,10158,D,1598.00,1645.00
Social Sec Inv,20250505, 1618.00, 1626.00, 1565.00, 1598.00,1080905311788.00, 676221074,8238,D,1579.00,1579.00
Social Sec Inv,20250504, 1555.00, 1610.00, 1555.00, 1579.00,1751504669546.00, 1109076561,11916,D,1603.00,1587.00
Social Sec Inv,20250503, 1603.00, 1603.00, 1603.00, 1603.00,1818059996438.00, 1134160946,8533,D,1652.00,1603.00
Social Sec Inv,20250430, 1625.00, 1679.00, 1619.00, 1652.00,2343811063511.00, 1419142858,15323,D,1636.00,1679.00
Social Sec Inv,20250429, 1669.00, 1672.00, 1625.00, 1636.00,1728356477895.00, 1056578004,13417,D,1675.00,1625.00
Social Sec Inv,20250428, 1674.00, 1710.00, 1630.00, 1675.00,2069261352391.00, 1235067259,12952,D,1661.00,1644.00
Social Sec Inv,20250427, 1658.00, 1694.00, 1658.00, 1661.00,3747279953039.00, 2256413867,19964,D,1709.00,1658.00
Social Sec Inv,20250426, 1718.00, 1718.00, 1651.00, 1709.00,4721639918653.00, 2763482714,24160,D,1668.00,1718.00
Social Sec Inv,20250423, 1639.00, 1671.00, 1578.00, 1668.00,5136421603352.00, 3078588486,21416,D,1623.00,1671.00
Social Sec Inv,20250422, 1590.00, 1630.00, 1550.00, 1623.00,3992467138990.00, 2460525420,24199,D,1583.00,1630.00
Social Sec Inv,20250421, 1583.00, 1583.00, 1561.00, 1583.00,6092595283151.00, 3849074283,25250,D,1537.00,1583.00
Social Sec Inv,20250420, 1537.00, 1537.00, 1537.00, 1537.00,1331288900606.00, 866160638,5229,D,1493.00,1537.00
Social Sec Inv,20250419, 1493.00, 1493.00, 1493.00, 1493.00,777426243866.00, 520714162,3890,D,1450.00,1493.00
Social Sec Inv,20250416, 1408.00, 1452.00, 1397.00, 1450.00,1430588024709.00, 986323351,8204,D,1410.00,1452.00
